CustomerID,FirstName,LastName,Email,PhoneNumber,City,JoinDate,TotalSpent
6e4148d7-bf39-4681-ba4e-b30b0d3efe36,Gabrielle,Young,knightrobert@example.net,001-251-986-2427x2380,Webbbury,2021-07-28,728.83
055f8014-ce60-45b4-8c2b-ad1b1468da38,Leslie,Bradford,nmarquez@example.org,+1-647-411-0756x120,Loveberg,2022-11-22,2670.06
edccb6e4-98d0-4b50-a2a9-b6f5c03a433b,Jennifer,Townsend,joshuaanderson@example.net,(939)472-4198,Katherineton,2022-01-17,223.48
ab28ecb6-b838-46a2-a789-17685fa5b5e4,David,Fisher,scottcallahan@example.org,(763)248-5592,Port Michelle,2021-10-04,3972.68
2e702ac5-3688-4658-82e9-c89b46fe0f42,Brian,Hill,aalvarez@example.org,880.560.9738x563,Aaronstad,2023-04-26,2429.36
0a89c948-c498-498e-a599-47867b32e9d6,Jonathan,Baker,mdavis@example.net,208-579-7546,Jaimeport,2024-10-30,903.7
ea8f99c5-a2cc-4584-be21-0f39f9da93d6,Travis,Smith,lcoleman@example.com,971-374-1799x3872,Port Stevenburgh,2024-06-28,3181.5
48a57e66-8b2e-4711-8979-70817db8075b,Ashley,Hubbard,sierra43@example.org,+1-871-452-1667x90564,New Jameshaven,2021-03-30,611.53
e14e67f8-9c44-4ff2-a4e4-180493185409,Monique,Barton,benderpaul@example.net,(486)208-2661,Gwendolynburgh,2020-11-26,1266.9
289af49f-3452-4b04-8c96-ee1863149688,Ashley,Decker,xcarter@example.net,273-277-3813x8742,Lake Tamishire,2023-07-23,3653.51
9b3a3e55-938a-47b8-98de-ad18d04f8870,Corey,Mitchell,collinslawrence@example.org,001-581-410-2111x0751,Port Phillip,2020-06-07,2623.16
f1ede87f-8656-4497-baec-87db5c519569,Dale,Cameron,lisa06@example.org,943-204-1118x7133,North Caitlinstad,2021-10-10,1596.98
97d458df-3ad4-4bee-b2b1-ad712a1d317a,Willie,Brewer,sanderson@example.net,(365)221-3616,New Mikefort,2020-02-05,3140.08
